tickers
HD
JNJ
KMB
PG
TM
MRK
NVS
CHK
COP
PSX
INTC
MSFT
VZ
VOD
PEG
RTN
TIF
MBVT
KMX
MMM
TGT
DLTR
SNN
SYK
GOOGL
AAPL
LLL
CMI
IPCC
ALTR
TXN
JW-A
EVR
BOBE
YUM
IBM
ADI
MHLD
CMP
SWK
BR
CR
ITW
EMR
BBY
RPM
LEG
ABM
CNSL
MCHP
BP
TOT
CVX
XOM
RIG
RDS-A
ACHI
ANIK
APOL
AVID
HRB
BCOR
BRCD
BKE
CSCO
DLX
DEPO
ENTA
FLR
GME
GILD
HPQ
IQNT
IDCC
KING
NSR
PDLI
PPC
PBI
RPXC
STRA
TSRA
UIS
USNA
VIAB
